file_project,total_downloads
pip,553198287
urllib3,370658394
botocore,344125527
six,341349860
python-dateutil,312735938
s3transfer,296075899
pyyaml,261260348
docutils,257670800
pyasn1,248459320
requests,246433452
setuptools,245516238
jmespath,240052407
certifi,224971441
awscli,221219294
rsa,219871019
futures,217949927
idna,212391360
colorama,211273535
wheel,202847781
chardet,195911202
simplejson,185678096
boto3,142933601
pytz,128260770
numpy,114377780
cffi,110481137
markupsafe,108419079
cryptography,102598635
awscli-cwlogs,100334444
jinja2,99495678
pycparser,92260874
pbr,85888063
enum34,82364360
protobuf,77118526
asn1crypto,72536608
ipaddress,71971256
click,67618533
pytest,67127544
attrs,64826939
future,62010371
decorator,60023739
pyparsing,57163877
pandas,57144867
pytest-runner,56897825
pyasn1-modules,55785787
werkzeug,55071328
psutil,50737565
virtualenv,50652689
flask,50293808
boto,48289069
py,47772487
itsdangerous,47412092
google-api-core,45794145
coverage,45402303
argparse,44929836
setuptools-scm,44439277
pluggy,44257009
mock,43398893
scipy,43019570
grpcio,42947822
pyopenssl,42754252
google-cloud-core,41299556
pygments,41040453
jsonschema,40308366
psycopg2,39548607
scikit-learn,38692253
more-itertools,38167466
cachetools,37627547
pillow,36890344
lxml,36730678
docopt,36095097
google-auth,36091390
funcsigs,35900464
websocket-client,35498947
httplib2,35485013
oauth2client,33697379
google-api-python-client,33382766
mccabe,33294875
paramiko,33113868
tornado,32770027
ptyprocess,32312119
pyjwt,31504064
pexpect,31302992
sqlalchemy,31171768
matplotlib,30773839
uritemplate,29943410
wrapt,29893909
bcrypt,29823499
pycodestyle,29422258
markdown,29204554
google-resumable-media,29083247
oauthlib,28946509
elasticsearch,28860210
docker,28362790
ipython,28175473
docker-pycreds,28169675
prompt-toolkit,28111487
atomicwrites,28051764
multidict,28042923
pymysql,27698240
redis,27460324
pynacl,27453145
requests-oauthlib,27229640
google-cloud-bigquery,27105405
absl-py,26666456
aiohttp,25681625
sklearn,25650747
pymemcache,25597506
pyflakes,25519319
beautifulsoup4,25460916
packaging,25429134
google-cloud-storage,25184251
wcwidth,24990340
nose,24940078
configparser,24735664
backports-functools-lru-cache,24713903
greenlet,24676808
functools32,24643147
gevent,24580544
ujson,24474521
googleapis-common-protos,24351807
django,24072581
gunicorn,23903299
typing,23848421
babel,23457316
lazy-object-proxy,22634933
ipython-genutils,22608265
cython,22459038
traitlets,22447483
toolz,22406127
flake8,22384800
pathlib2,21894121
tqdm,21806497
selenium,21740683
google-auth-httplib2,21496572
termcolor,21263063
kiwisolver,21180930
html5lib,20845327
async-timeout,20541123
bleach,20499445
pickleshare,20112100
tzlocal,19637568
opencv-python,19430494
scandir,19266562
pylint,19088330
retrying,19076390
pymongo,19004190
isort,18994454
singledispatch,18939195
networkx,18909407
cycler,18873863
scikit-image,18787200
tensorflow,18647944
requests-toolbelt,18617405
astroid,18611730
dask,18563137
tabulate,18455728
zope-interface,18426636
h5py,18170948
trueskill,18168284
pykube,18055816
cached-property,17909860
webencodings,17890051
lockfile,17874532
tensorboard,17798657
datadog,17659141
websockets,17504901
gitpython,17492805
apache-beam,17444240
pyzmq,17354996
defusedxml,17045688
backports-ssl-match-hostname,16888835
subprocess32,16426972
twisted,16383539
simplegeneric,16083765
gitdb2,16011187
docker-compose,15984367
smmap2,15984294
astor,15871809
raven,15854136
pytest-cov,15683698
incremental,15557703
gast,15464253
elasticsearch-dsl,15353918
azure-common,15299528
arrow,15148490
discord-py,15014195
amqp,14988463
hdfs,14966173
kombu,14736601
pycrypto,14518424
isodate,14231614
jupyter-core,14179005
entrypoints,14126933
ordereddict,14078366
nbformat,13848367
vcversioner,13745050
xmltodict,13674595
unidecode,13621222
alabaster,13556826
appdirs,13487664
celery,13286297
contextlib2,13234466
pypng,13219572
snowballstemmer,13091431
psycopg2-binary,13076002
billiard,13037236
dill,13021779
mako,12996396
monotonic,12955095
texttable,12954939
hiredis,12795850
sphinx,12787455
azure-nspkg,12746429
keras-preprocessing,12708443
keras-applications,12678450
jedi,12620892
parso,12600793
prettytable,12501470
backports-abc,12291922
typed-ast,12289172
jsonpickle,12275221
xlrd,12228200
keras,12164788
dockerpty,12005902
pywavelets,11989178
ansible,11906383
backports-weakref,11845511
imagesize,11778669
msgpack,11663022
regex,11586476
sphinxcontrib-websupport,11337444
croniter,11330832
ply,11291088
sortedcontainers,11242945
vine,11069603
linecache2,11046678
netaddr,10896997
traceback2,10882994
unicodecsv,10815249
pycryptodome,10671965
unittest2,10659186
pyserial,10532919
google-cloud-firestore,10395763
statsd,10216982
py4j,10204282
mistune,10189297
nltk,10163610
djangorestframework,10084760
pypandoc,10041175
prometheus-client,9920477
ipykernel,9865089
jupyter-client,9854629
google-cloud-logging,9811563
python-daemon,9787125
thrift,9735159
alembic,9709165
ecdsa,9559852
dnspython,9558846
toml,9491932
openpyxl,9378088
notebook,9313429
